Transaction_ID,Date,Station_Name,OMC,City,Province,Fuel_Type,Price_Per_Liter_PKR,Volume_Sold_Liters,Total_Revenue_PKR,Payment_Method,Customer_Type
TXN-20250032,2025-05-27,Hascol Faisalabad Super Highway Station,Hascol,Faisalabad,Punjab,CNG,203.8,84.71,17263.9,cash,Agriculture
TXN-20250033,18/03/2026,Attock Petroleum Peshawar Saddar Filling Station,Attock Petroleum,Peshawar,KPK,Super (92 Ron),263.18,134.94,35513.51,EasyPaisa,individual
TXN-20250034,2026-06-12,Hascol Rawalpindi Ferozepur Road Pump,Hascol,Rawalpindi,Punjab,Super (92 Ron),289.93,27.69,8028.16,cash,individual
TXN-20250035,2026-05-20,Shell Sialkot University Road Pump,Shell,Sialkot,Punjab,CNG,200.45,67.61,13552.42,Fleet Card,Agriculture
TXN-20250036,2025-02-26,Hascol Faisalabad Super Highway Station,Hascol,Faisalabad,Punjab,Hi-Octane (97 Ron),304.52,91.0,,cash,Government
TXN-20250037,2025-04-02,Cnergyico Karachi Murree Road Station,Cnergyico,Karachi,Sindh,Super (92 Ron),286.55,15.81,4530.36,JazzCash,Agriculture
TXN-20250038,2026-04-19,Total Parco Quetta Thokar Niaz Baig Station,Total Parco,Quetta,Balochistan,CNG,212.37,10.14,2153.43,Debit Card,individual
TXN-20250039,2025-11-01,PSO Quetta Lytton Road Pump,PSO,Quetta,Balochistan,Hi-Octane (97 Ron),303.3,8.61,2611.41,Mobile Wallet,Government
TXN-20250040,2025-10-08,PSO Multan Lytton Road Pump,PSO,Multan,Punjab,Hi-Octane (97 Ron),311.75,116.58,36343.82,Credit Card,Corporate
TXN-20250041,2025-11-23,Shell Rawalpindi Karsaz Service Station,Shell,Rawalpindi,Punjab,High Speed Diesel,304.32,85.0,25867.2,credit card,individual
TXN-20250042,2025-10-28,Shell Multan F-7 Markaz Pump,Shell,Multan,Punjab,CNG,218.54,55.43,12113.67,Fleet Card,Corporate
TXN-20250043,2026-07-12,Shell Karachi University Road Pump,Shell,Karachi,Sindh,High Speed Diesel,273.77,999.07,273515.39,JazzCash,Corporate Fleet
TXN-20250044,2025-03-20,Attock Petroleum Sialkot Industrial Area Pump,Attock Petroleum,Sialkot,Punjab,High Speed Diesel,300.01,7060.43,2118199.6,Credit Card,Corporate
TXN-20250045,2025-03-24,Attock Petroleum Rawalpindi Industrial Area Pump,Attock Petroleum,Rawalpindi,Punjab,CNG,206.56,128.1,,Credit Card,Individual
TXN-20250046,2025-05-27,PSO Faisalabad Clifton Service Station,PSO,Faisalabad,Punjab,Hi-Octane (97 Ron),322.5,20.0,6450.0,JazzCash,Corporate
TXN-20250047,2025-09-29,Cnergyico Peshawar Murree Road Station,Cnergyico,Peshawar,KPK,Super (92 Ron),270.02,42.58,11497.45,credit card,Government
TXN-20250048,2026-02-03,Total Parco Faisalabad G-11 Markaz Station,Total Parco,Faisalabad,Punjab,CNG,9999.0,105.54,1055294.46,Credit Card,Government
TXN-20250049,05/02/2026,PSO Sialkot GT Road Service,PSO,Sialkot,Punjab,High Speed Diesel,298.72,91.0,27183.52,Fleet Card,Agriculture
TXN-20250050,2026-03-24,Shell Faisalabad Mall Road Station,Shell,Faisalabad,Punjab,Hi-Octane (97 Ron),316.43,92.4,29238.13,,Agriculture
TXN-20250051,2025-10-23,Hascol Sialkot Ferozepur Road Pump,Hascol,Sialkot,Punjab,Super (92 Ron),264.56,10.51,2780.53,credit card,Corporate
TXN-20250052,2025-01-30,PSO Lahore Clifton Service Station,PSO,Lahore,Punjab,Super (92 Ron),288.17,50.18,,Credit Card,Corporate
TXN-20250053,2025-04-05,Cnergyico Peshawar Murree Road Station,Cnergyico,Peshawar,KPK,Hi-Octane (97 Ron),301.38,23.07,6952.84,JazzCash,Corporate Fleet
TXN-20250054,2025-09-02,PSO Multan GT Road Service,PSO,Multan,Punjab,CNG,213.09,42.37,9028.62,EasyPaisa,Corporate
TXN-20250055,2025-10-05,Cnergyico Sialkot Multan Road Filling Point,Cnergyico,Sialkot,Punjab,Hi-Octane (97 Ron),328.8,84.7,27849.36,Debit Card,Corporate
TXN-20250056,07/01/2025,Hascol Faisalabad Ferozepur Road Pump,Hascol,Faisalabad,Punjab,Super (92 Ron),278.86,148.6,41438.6,Cash,individual
TXN-20250057,2026-08-06,Total Parco Karachi Shahrah-e-Faisal Point,Total Parco,Karachi,Sindh,High Speed Diesel,288.26,69.91,20152.26,Debit Card,Government
TXN-20250058,2025-11-03,Cnergyico Islamabad Hub River Road Pump,Cnergyico,Islamabad,Islamabad ICT,CNG,204.24,,,Mobile Wallet,individual
TXN-20250059,2026-02-20,Shell Sialkot University Road Pump,Shell,Sialkot,Punjab,Super (92 Ron),268.79,15.94,4284.51,Fleet Card,Government
TXN-20250060,2025-10-22,Hascol Lahore Hayatabad Filling Station,Hascol,Lahore,Punjab,High Speed Diesel,274.98,26.05,7163.23,JazzCash,Government
TXN-20250061,2025-12-11,Hascol Multan Hayatabad Filling Station,Hascol,Multan,Punjab,High Speed Diesel,304.71,36.11,11003.08,JazzCash,Corporate Fleet
TXN-20250062,2026-03-20,Total Parco Islamabad Shahrah-e-Faisal Point,Total Parco,Islamabad,Islamabad ICT,Super (92 Ron),261.32,43.99,11495.47,EasyPaisa,Individual
TXN-20250063,2026-08-06,Attock Petroleum Islamabad Saddar Filling Station,Attock Petroleum,Islamabad,Islamabad ICT,High Speed Diesel,291.62,10.16,2962.86,EasyPaisa,Corporate Fleet
TXN-20250064,2026-08-21,Attock Petroleum Peshawar Saddar Filling Station,Attock Petroleum,Peshawar,KPK,Super (92 Ron),278.5,95.39,26566.12,CASH,Agriculture
TXN-20250065,2025-08-08,Cnergyico Multan Murree Road Station,Cnergyico,Multan,Punjab,Super (92 Ron),285.4,149.53,42675.86,Debit Card,Corporate Fleet
TXN-20250066,2025-10-14,Total Parco Islamabad G-11 Markaz Station,Total Parco,Islamabad,Islamabad ICT,CNG,202.1,110.67,22366.41,Fleet Card,Corporate
TXN-20250067,2025-04-19,Attock Petroleum Rawalpindi Motorway Service Area,Attock Petroleum,Rawalpindi,Punjab,High Speed Diesel,296.44,49.71,14736.03,Cash,Government
TXN-20250068,2025-03-22,Hascol Peshawar Super Highway Station,Hascol,Peshawar,KPK,High Speed Diesel,302.02,19.67,5940.73,Fleet Card,individual
TXN-20250069,2026-04-24,Total Parco Faisalabad G-11 Markaz Station,Total Parco,Faisalabad,Punjab,Hi-Octane (97 Ron),315.95,52.91,16716.91,Debit Card,Corporate Fleet
TXN-20250070,31/01/2026,PSO Sialkot Clifton Service Station,PSO,Sialkot,Punjab,CNG,207.11,95.06,19687.88,Mobile Wallet,Agriculture
TXN-20250071,13-Apr-26,Cnergyico Karachi Hub River Road Pump,Cnergyico,Karachi,Sindh,Super (92 Ron),282.43,46.4,13104.75,Cash,Government
TXN-20250072,2026-05-13,Shell Faisalabad University Road Pump,Shell,Faisalabad,Punjab,Hi-Octane (97 Ron),299.66,62.09,,Fleet Card,individual
TXN-20250073,2025-10-28,Attock Petroleum Peshawar Motorway Service Area,Attock Petroleum,Peshawar,KPK,Hi-Octane (97 Ron),308.03,99.17,30547.34,CASH,Corporate
TXN-20250074,2025-03-30,Shell Multan University Road Pump,Shell,Multan,Punjab,CNG,219.59,19.75,4336.9,,Corporate
TXN-20250075,2026-02-12,Shell Multan Karsaz Service Station,Shell,Multan,Punjab,CNG,209.24,115.91,24253.01,EasyPaisa,Government
TXN-20250076,2026-07-25,Total Parco Lahore Shahrah-e-Faisal Point,Total Parco,Lahore,Punjab,Super (92 Ron),269.27,7.78,2094.92,CASH,individual
TXN-20250077,2026-04-19,Cnergyico Karachi Hub River Road Pump,Cnergyico,Karachi,Sindh,High Speed Diesel,296.16,28.38,8405.02,cash,Corporate Fleet
TXN-20250078,2025-05-29,Shell Multan Gulberg Station,Shell,Multan,Punjab,Hi-Octane (97 Ron),327.78,101.57,33292.61,Cash,Government
TXN-20250079,2025-01-22,Hascol Faisalabad Ferozepur Road Pump,Hascol,Faisalabad,Punjab,Hi-Octane (97 Ron),309.45,145.9,45148.75,EasyPaisa,Individual
TXN-20250080,2026-03-14,Hascol Lahore Super Highway Station,Hascol,Lahore,Punjab,CNG,218.83,138.38,30281.7,Mobile Wallet,Individual
TXN-20250081,2025-06-13,Hascol Multan Super Highway Station,Hascol,Multan,Punjab,Hi-Octane (97 Ron),308.33,10.74,3311.46,cash,Corporate
TXN-20250082,2025-10-06,Hascol Islamabad Ferozepur Road Pump,Hascol,Islamabad,Islamabad ICT,CNG,215.37,118.16,25448.12,Cash,
TXN-20250083,14/02/2026,Attock Petroleum Rawalpindi Motorway Service Area,Attock Petroleum,Rawalpindi,Punjab,High Speed Diesel,276.53,18.04,4988.6,credit card,Corporate Fleet
TXN-20250084,30-Sep-25,Attock Petroleum Islamabad Industrial Area Pump,Attock Petroleum,Islamabad,Islamabad ICT,Super (92 Ron),272.46,126.36,34428.05,CASH,Individual
TXN-20250085,2026-08-24,Shell Islamabad Mall Road Station,Shell,Islamabad,Islamabad ICT,Hi-Octane (97 Ron),327.21,7291.52,2385858.26,cash,Corporate
TXN-20250086,2026-08-25,Cnergyico Quetta Multan Road Filling Point,Cnergyico,Quetta,Balochistan,High Speed Diesel,9999.0,22.25,222477.75,cash,Individual
TXN-20250087,2026-03-19,Shell Peshawar University Road Pump,Shell,Peshawar,KPK,CNG,206.22,3535.16,729020.7,Mobile Wallet,individual
TXN-20250088,2025-06-19,Shell Islamabad University Road Pump,Shell,Islamabad,Islamabad ICT,High Speed Diesel,272.6,124.77,34012.3,credit card,Government
TXN-20250089,2025-07-27,Shell Rawalpindi Karsaz Service Station,Shell,Rawalpindi,Punjab,Super (92 Ron),287.92,101.16,29125.99,CASH,Corporate Fleet
TXN-20250090,2025-06-04,PSO Karachi Clifton Service Station,PSO,Karachi,Sindh,CNG,203.01,99.85,20270.55,JazzCash,Individual
TXN-20250091,2026-01-31,Attock Petroleum Multan Saddar Filling Station,Attock Petroleum,Multan,Punjab,Super (92 Ron),271.29,26.57,7208.18,credit card,Government
TXN-20250092,2026-05-30,Attock Petroleum Islamabad Saddar Filling Station,Attock Petroleum,Islamabad,Islamabad ICT,Hi-Octane (97 Ron),306.82,22.07,6771.52,cash,Corporate
TXN-20250093,2026-06-29,Cnergyico Multan Murree Road Station,Cnergyico,Multan,Punjab,High Speed Diesel,293.98,,,Mobile Wallet,Individual
TXN-20250094,2025-01-31,Shell Multan University Road Pump,Shell,Multan,Punjab,Hi-Octane (97 Ron),311.51,119.78,37312.67,Credit Card,Government
TXN-20250095,2025-05-29,Hascol Multan Hayatabad Filling Station,Hascol,Multan,Punjab,CNG,202.01,87.96,17768.8,Debit Card,individual
TXN-20250096,2025-08-28,Attock Petroleum Sialkot Industrial Area Pump,Attock Petroleum,Sialkot,Punjab,Hi-Octane (97 Ron),315.3,144.17,45456.8,,Corporate Fleet
TXN-20250097,24-Aug-25,Shell Lahore F-7 Markaz Pump,Shell,Lahore,Punjab,Super (92 Ron),277.55,55.21,15323.54,CASH,Corporate Fleet
TXN-20250098,2026-04-03,Attock Petroleum Quetta Motorway Service Area,Attock Petroleum,Quetta,Balochistan,Hi-Octane (97 Ron),304.23,138.0,41983.74,CASH,individual
TXN-20250099,2026-02-05,Hascol Faisalabad Hayatabad Filling Station,Hascol,Faisalabad,Punjab,CNG,200.31,9.69,1941.0,Fleet Card,
TXN-20250100,2025-06-28,Cnergyico Islamabad Hub River Road Pump,Cnergyico,Islamabad,Islamabad ICT,Hi-Octane (97 Ron),,117.88,,cash,Government
TXN-20250101,2026-08-03,Hascol Lahore Ferozepur Road Pump,Hascol,Lahore,Punjab,Super (92 Ron),285.98,147.52,42187.77,Debit Card,Individual
TXN-20250102,2026-04-16,Shell Multan F-7 Markaz Pump,Shell,Multan,Punjab,Hi-Octane (97 Ron),302.99,99.2,30056.61,JazzCash,individual
TXN-20250103,28-Jul-26,Cnergyico Peshawar Murree Road Station,Cnergyico,Peshawar,KPK,CNG,219.26,4669.9,1023922.27,cash,Agriculture
TXN-20250104,2025-05-30,Total Parco Sialkot Shahrah-e-Faisal Point,Total Parco,Sialkot,Punjab,Hi-Octane (97 Ron),304.58,93.74,28551.33,cash,Individual
TXN-20250105,15/08/2025,Attock Petroleum Lahore Saddar Filling Station,Attock Petroleum,Lahore,Punjab,Super (92 Ron),286.35,28.81,8249.74,CASH,Corporate
TXN-20250106,2026-05-05,Hascol Karachi Super Highway Station,Hascol,Karachi,Sindh,Super (92 Ron),265.48,12.0,,JazzCash,Corporate
TXN-20250107,04-Jan-25,Hascol Lahore Super Highway Station,Hascol,Lahore,Punjab,High Speed Diesel,297.37,107.34,31919.7,Cash,Individual
TXN-20250108,2026-07-10,Attock Petroleum Islamabad Industrial Area Pump,Attock Petroleum,Islamabad,Islamabad ICT,High Speed Diesel,293.48,133.0,39032.84,JazzCash,Corporate
TXN-20250109,2025-05-28,Attock Petroleum Karachi Industrial Area Pump,Attock Petroleum,Karachi,Sindh,Hi-Octane (97 Ron),328.59,15.05,4945.28,Cash,Government
TXN-20250110,22-Jun-25,PSO Lahore Blue Area Station,PSO,Lahore,Punjab,Hi-Octane (97 Ron),319.35,51.61,16481.65,Cash,individual
TXN-20250111,2025-01-12,Total Parco Karachi Shahrah-e-Faisal Point,Total Parco,Karachi,Sindh,CNG,200.79,46.24,9284.53,cash,Government
TXN-20250112,01/03/2026,Cnergyico Sialkot Multan Road Filling Point,Cnergyico,Sialkot,Punjab,CNG,217.8,44.13,9611.51,credit card,Corporate Fleet
TXN-20250113,2026-01-04,Shell Karachi Gulberg Station,Shell,Karachi,Sindh,Super (92 Ron),280.11,125.75,35223.83,Fleet Card,Corporate
TXN-20250114,17-Apr-25,Shell Islamabad Karsaz Service Station,Shell,Islamabad,Islamabad ICT,High Speed Diesel,290.76,34.92,10153.34,Credit Card,Individual
TXN-20250115,2025-05-31,Hascol Islamabad Hayatabad Filling Station,Hascol,Islamabad,Islamabad ICT,Hi-Octane (97 Ron),305.14,48.47,14790.14,EasyPaisa,Corporate Fleet
TXN-20250116,2025-12-11,Total Parco Peshawar G-11 Markaz Station,Total Parco,Peshawar,KPK,Hi-Octane (97 Ron),326.01,144.83,47216.03,JazzCash,Corporate
TXN-20250117,2026-03-25,Shell Islamabad F-7 Markaz Pump,Shell,Islamabad,Islamabad ICT,Super (92 Ron),266.46,53.43,14236.96,JazzCash,Corporate Fleet
TXN-20250118,2026-06-28,Shell Lahore Karsaz Service Station,Shell,Lahore,Punjab,Super (92 Ron),272.08,11938.45,3248213.48,JazzCash,Corporate Fleet
TXN-20250119,2026-02-01,PSO Islamabad Defence Filling Point,PSO,Islamabad,Islamabad ICT,High Speed Diesel,273.93,109.44,29978.9,EasyPaisa,Government
TXN-20250120,2025-02-25,PSO Multan GT Road Service,PSO,Multan,Punjab,Hi-Octane (97 Ron),298.49,49.38,14739.44,credit card,Individual
TXN-20250121,2025-05-05,Attock Petroleum Faisalabad Industrial Area Pump,Attock Petroleum,Faisalabad,Punjab,Super (92 Ron),270.29,54.23,14657.83,Debit Card,Corporate
TXN-20250122,09-Mar-26,PSO Peshawar Cantt Filling Point,PSO,Peshawar,KPK,Super (92 Ron),279.75,143.98,40278.4,CASH,Government
TXN-20250123,09-Mar-26,Hascol Multan Super Highway Station,Hascol,Multan,Punjab,High Speed Diesel,294.86,88.0,25947.68,Credit Card,individual
TXN-20250124,31-Jan-25,Shell Multan Karsaz Service Station,Shell,Multan,Punjab,Super (92 Ron),285.98,22.29,6374.49,cash,Individual
TXN-20250125,2026-07-19,Hascol Rawalpindi Hayatabad Filling Station,Hascol,Rawalpindi,Punjab,High Speed Diesel,270.92,136.44,36964.32,Debit Card,Individual
TXN-20250126,2026-07-18,Attock Petroleum Faisalabad Industrial Area Pump,Attock Petroleum,Faisalabad,Punjab,Hi-Octane (97 Ron),323.3,,,Fleet Card,individual
TXN-20250127,2026-04-22,Hascol Quetta Hayatabad Filling Station,Hascol,Quetta,Balochistan,Hi-Octane (97 Ron),311.48,49.55,15433.83,Fleet Card,individual
TXN-20250128,2025-12-09,Total Parco Sialkot Thokar Niaz Baig Station,Total Parco,Sialkot,Punjab,High Speed Diesel,274.66,32.85,9022.58,cash,Corporate
TXN-20250129,26/02/2025,Attock Petroleum Rawalpindi Industrial Area Pump,Attock Petroleum,Rawalpindi,Punjab,High Speed Diesel,302.66,57.93,17533.09,Cash,Corporate Fleet
TXN-20250130,2025-04-09,Hascol Faisalabad Ferozepur Road Pump,Hascol,Faisalabad,Punjab,Super (92 Ron),287.51,77.26,22213.02,Mobile Wallet,Corporate
TXN-20250131,13/04/2025,Shell Islamabad Gulberg Station,Shell,Islamabad,Islamabad ICT,High Speed Diesel,276.43,139.76,38633.86,credit card,Corporate Fleet
TXN-20250132,19/03/2025,Cnergyico Sialkot Murree Road Station,Cnergyico,Sialkot,Punjab,Super (92 Ron),264.21,45.63,12055.9,Debit Card,individual
TXN-20250133,2026-01-02,Total Parco Quetta Jail Road Petrol Pump,Total Parco,Quetta,Balochistan,Super (92 Ron),266.52,85.29,22731.49,CASH,Individual
TXN-20250134,2026-08-15,PSO Islamabad Defence Filling Point,PSO,Islamabad,Islamabad ICT,Hi-Octane (97 Ron),296.31,117.63,34854.95,Fleet Card,Corporate Fleet
TXN-20250135,2026-02-25,Hascol Karachi Super Highway Station,Hascol,Karachi,Sindh,High Speed Diesel,295.51,127.45,37662.75,cash,individual
TXN-20250136,2025-04-28,Total Parco Peshawar Thokar Niaz Baig Station,Total Parco,Peshawar,KPK,CNG,215.44,140.42,30252.08,CASH,Individual
TXN-20250137,2026-03-16,Attock Petroleum Sialkot Khyber Pass Pump,Attock Petroleum,Sialkot,Punjab,High Speed Diesel,303.03,103.55,31378.76,JazzCash,Corporate
TXN-20250138,2025-12-23,Shell Karachi Mall Road Station,Shell,Karachi,Sindh,High Speed Diesel,300.35,42.24,12686.78,credit card,Corporate Fleet
TXN-20250139,13/05/2025,Hascol Rawalpindi Hayatabad Filling Station,Hascol,Rawalpindi,Punjab,High Speed Diesel,282.3,107.57,30367.01,Debit Card,Agriculture
TXN-20250140,2025-10-01,Attock Petroleum Multan Saddar Filling Station,Attock Petroleum,Multan,Punjab,Super (92 Ron),283.09,6326.15,1790869.8,Mobile Wallet,individual
TXN-20250141,2026-06-17,Total Parco Sialkot Thokar Niaz Baig Station,Total Parco,Sialkot,Punjab,Hi-Octane (97 Ron),306.14,7.68,2351.16,JazzCash,Corporate
TXN-20250142,16/07/2026,Shell Rawalpindi Karsaz Service Station,Shell,Rawalpindi,Punjab,Hi-Octane (97 Ron),298.43,4091.73,1221094.98,cash,Corporate
TXN-20250143,16-Feb-25,Attock Petroleum Islamabad Motorway Service Area,Attock Petroleum,Islamabad,Islamabad ICT,Super (92 Ron),269.02,138.09,37148.97,Fleet Card,Government
TXN-20250144,2026-02-02,Hascol Sialkot Ferozepur Road Pump,Hascol,Sialkot,Punjab,CNG,210.12,140.3,29479.84,CASH,individual
TXN-20250145,2025-10-16,Hascol Rawalpindi Ferozepur Road Pump,Hascol,Rawalpindi,Punjab,CNG,202.85,65.45,13276.53,Mobile Wallet,Corporate Fleet
TXN-20250146,2025-12-18,Cnergyico Rawalpindi Multan Road Filling Point,Cnergyico,Rawalpindi,Punjab,Super (92 Ron),264.01,75.37,19898.43,CASH,individual
TXN-20250147,2025-11-16,Total Parco Lahore Shahrah-e-Faisal Point,Total Parco,Lahore,Punjab,CNG,218.0,16.05,3498.9,,individual
TXN-20250148,10-Aug-26,Total Parco Quetta Shahrah-e-Faisal Point,Total Parco,Quetta,Balochistan,Super (92 Ron),270.51,130.68,35350.25,credit card,Corporate
TXN-20250149,2025-11-30,Shell Lahore Gulberg Station,Shell,Lahore,Punjab,CNG,212.27,8.77,1861.61,CASH,Agriculture
TXN-20250150,2025-07-20,Shell Lahore Karsaz Service Station,Shell,Lahore,Punjab,Hi-Octane (97 Ron),313.52,126.7,39722.98,Debit Card,Individual
TXN-20250151,04/01/2026,PSO Karachi Defence Filling Point,PSO,Karachi,Sindh,CNG,205.57,91.13,18733.59,Fleet Card,Government
TXN-20250152,2025-05-01,Attock Petroleum Karachi Saddar Filling Station,Attock Petroleum,Karachi,Sindh,Super (92 Ron),260.67,46.89,12222.82,Cash,Government
TXN-20250153,2025-03-23,Cnergyico Quetta Hub River Road Pump,Cnergyico,Quetta,Balochistan,Super (92 Ron),271.62,66.65,18103.47,JazzCash,Corporate
TXN-20250154,2026-04-21,Hascol Islamabad Hayatabad Filling Station,Hascol,Islamabad,Islamabad ICT,Hi-Octane (97 Ron),,9.13,,Debit Card,individual
TXN-20250155,2026-04-02,Attock Petroleum Peshawar Motorway Service Area,Attock Petroleum,Peshawar,KPK,CNG,203.59,116.11,23638.83,credit card,Government
TXN-20250156,2026-04-15,Attock Petroleum Quetta Motorway Service Area,Attock Petroleum,Quetta,Balochistan,Hi-Octane (97 Ron),327.3,98.84,32350.33,Debit Card,Agriculture
TXN-20250157,2025-04-16,Attock Petroleum Rawalpindi Saddar Filling Station,Attock Petroleum,Rawalpindi,Punjab,CNG,211.3,70.0,14791.0,CASH,Corporate Fleet
TXN-20250158,2025-09-05,Total Parco Sialkot Shahrah-e-Faisal Point,Total Parco,Sialkot,Punjab,Super (92 Ron),265.41,11148.88,2959024.24,Credit Card,Corporate
TXN-20250159,2025-07-11,Hascol Karachi Hayatabad Filling Station,Hascol,Karachi,Sindh,CNG,215.35,146.88,31630.61,credit card,Corporate Fleet
TXN-20250160,23/06/2025,PSO Lahore Defence Filling Point,PSO,Lahore,Punjab,Hi-Octane (97 Ron),318.55,119.07,37929.75,JazzCash,Individual
TXN-20250161,2026-08-04,Attock Petroleum Faisalabad Khyber Pass Pump,Attock Petroleum,Faisalabad,Punjab,High Speed Diesel,285.18,68.82,19626.09,credit card,Corporate
TXN-20250162,2026-08-24,Shell Rawalpindi University Road Pump,Shell,Rawalpindi,Punjab,Super (92 Ron),281.48,91.58,25777.94,Mobile Wallet,Corporate
TXN-20250163,2025-04-28,Attock Petroleum Peshawar Saddar Filling Station,Attock Petroleum,Peshawar,KPK,High Speed Diesel,274.03,115.56,31666.91,JazzCash,individual
TXN-20250164,2026-02-21,PSO Peshawar Lytton Road Pump,PSO,Peshawar,KPK,High Speed Diesel,304.05,,,EasyPaisa,Government
